proprietaire_nom,proprietaire_adresse
LPS ARCHITECTURE&GESTION INC. ,"3580 RUE MEILLEUR, BROSSARD (QC), J4Y 2G5"
INVESTISSEMENTS LPNB INC. ,"3580 RUE MEILLEUR, BROSSARD (QC), J4Y 2G5"
INVESTA SOCIETE IMMOBILIERE INC. ,"1090 RUE DE LA FALAISE, SHERBROOKE (QC), J1N2M9"
420 RUE GALT OUEST INC. ,"401-268 RUE ABERDEEN, SHERBROOKE (QC), J1H1W5"
GESTION TALBOT CHAUVEAU INC. ,"182 CH PINARD CP 144, STOKE (QC), J0B 3G0, A/S YVON TALBOT"
IMMEUBLES JUTRAS SCHWEIZER INC. ,"125 BOUL KILLORAN, DRUMMONDVILLE (QC), J2C 1J4"
9457-2096 QUEBEC INC. ,"47 RUE LAURIER, MAGOG (QC), J1X 2K2"
KAIRA INC. ,"7991 RUE SAINT-DENIS, MONTREAL (QC), H2R 2G2"
9436-5608 QUEBEC INC. ,"3380 RUE GALT O, SHERBROOKE (QC), J1H0A5, A/S MAXIME DESPRES-ARNOLD"
9486-2984 QUEBEC INC. ,"1090 RUE DE LA FALAISE, SHERBROOKE (QC), J1N2M9"
112 RUE GILLESPIE INC. ,"203 RUE ALEXANDRE, SHERBROOKE (QC), J1H4S8"
GESTION ALEXANDRE BALL INC. ,"13-185 RUE JACQUES-CARTIER N, SAINT-JEAN-SUR-RICHELIEU (QC), J3B 6T1"
230 RUE ALEXANDRE INC. ,"401-268 RUE ABERDEEN, SHERBROOKE (QC), J1H1W5"
197 RUE GILLESPIE INC. ,"401-268 RUE ABERDEEN, SHERBROOKE (QC), J1H1W5"
REVALORISATION CENTRO INC. ,"401-268 RUE ABERDEEN, SHERBROOKE (QC), J1H1W5"
833 RUE ST-LOUIS INC. ,"401-268 RUE ABERDEEN, SHERBROOKE (QC), J1H1W5"
9407-8714 QUEBEC INC. ,"524 RUE JEAN-VALCOURT, SHERBROOKE (QC), J1C0J9"
IMMEUBLES LZ INC. ,"81 CH BELVAL, BROMONT (QC), J2L 2X5"
9413-9201 QUEBEC INC. ,"1-9185 RUE BAYNE, LASALLE (QC), H8R 2G9"
81-83 WELLINGTON S.E.C. ,"351 RUE DE L' ONTARIO, SHERBROOKE (QC), J1J3R3"
9385-3463 QUEBEC INC ,"351 RUE DE L' ONTARIO, SHERBROOKE (QC), J1J3R3"
116 SANBORN INC. ,"401-268 RUE ABERDEEN, SHERBROOKE (QC), J1H1W5"
9425-9231 QUEBEC INC. ,"4380 BOUL PIE-IX, MONTREAL (QC), H1X 2B3"
9165-7262 QUEBEC INC. ,"1768 RUE BARBEAU, SHERBROOKE (QC), J1L0J5, A/S NICOLE FORTIN"
AUBERGE ANOKHI INC. ,"10 RUE BROOKS, SHERBROOKE (QC), J1H4X6"
40 RUE BROOKS INC. ,"133 RUE BALL, SHERBROOKE (QC), J1H1T9"
COBALT CAPITAL INC. ,"5726 RUE WAVERLY, MONTREAL (QC), H2T 2Y1"
IMMEUBLES CCTG POTTER LTEE ,"10300 RUE GRANDE-ALLEE, MONTREAL (QC), H3L 2M3, A/S GUILLAUME DELROEUX"
NOVACOR INC. ,"100-100 RUE RICHMOND, SHERBROOKE (QC), J1H6E1"
INVERSTISSEMENTS IMMOBILIERS SPL INC. ,"2669 RUE LE ROYER, SHERBROOKE (QC), J1K2X7"
9411-1523 QUEBEC INC. ,"401-268 RUE ABERDEEN, SHERBROOKE (QC), J1H1W5"
9402-9402 QUEBEC INC. ,"3165 RUE FANCAMP, SHERBROOKE (QC), J1K2Y5, A/S SIMON DOLBEC"
9397-4848 QUEBEC INC. ,"1375 RUE BRADLEY, SHERBROOKE (QC), J1J1M1, A/S KIM JUBINVILLE"
9465-7087 QUEBEC INC. ,"6470 BOULEVARD BOURQUE, SHERBROOKE (QC), J1N1H3, A/S YOUSSEF CHAMPAGNE-OUCHACHI"
9193-1840 QUEBEC INC. ,"245 RUE HIGH, SHERBROOKE (QC), J1H3W2, A/S YVES DUMAS"
COOP. D'HABITAT. LA ROUCOULE DE SHERBR. ,"6-256 RUE MOORE, SHERBROOKE (QC), J1H1B9"
PLACEMENTS MONDIAL 2005 INC. ,"3815 RUE ROUSSEAU, SHERBROOKE (QC), J1L2B6"
DEVELOPPEMENT OLYMBEC INC. ,"333 BOUL DECARIE 5E ET, MONTREAL (QC), H4N 3M9"
9414-0415 QUEBEC INC. ,"401-268 RUE ABERDEEN, SHERBROOKE (QC), J1H1W5"
12687330 CANADA INC. ,"132 RUE GUILBAULT, LONGUEUIL (QC), J4H 2T5, A/S JONATHAN MARTIN"
INVESTISSEMENTS OLYMBEC INC. ,"333 BOUL DECARIE 5E ET, MONTREAL (QC), H4N 3M9"
GESTION ZANDANT LTEE ,"604-4060 RUE SAINTE-CATHERINE O, WESTMOUNT (QC), H3Z 2Z3, A/S ANTHONY ZITMANN"
9209-7328 QUEBEC INC. ,"345 RUE HOVEY, NORTH HATLEY (QC), J0B 2C0, A/S CHARLES DUSSAULT"
CA CLIQUE (1984) LTEE ,"900 RUE NICOLAS-BOILEAU, SHERBROOKE (QC), J1L0G9, A/S MARCEL DUSSEAULT"
LAMART BK INVESTISSEMENTS INC. ,"41 RUE KING O, SHERBROOKE (QC), J1H1P1"
IMMOBE-LIES S.E.N.C. ,"1415 RUE DES ALOUETTES, SAINT-BRUNO-DE-MONTARVILLE (QC), J3V 6E4"
MCMP SERVICES-CONSEILS INC. ,"110 AV BALFOUR, MONT-ROYAL (QC), H3P 1L7"
9319-4504 QUEBEC INC. ,"1375 RUE BRADLEY, SHERBROOKE (QC), J1J1M1, A/S EDIFICE CATHEDRALE"
ECOPLAN LTEE ,"22-158 RUE FRONTENAC, SHERBROOKE (QC), J1H1J9, A/S MARCO-PIERRE CAZA"
9041-0150 QUEBEC INC. ,"900 RUE NICOLAS-BOILEAU, SHERBROOKE (QC), J1L0G9, A/S PHILIPPE DUSSEAULT"
9519-2357 QUEBEC INC. ,"1662 BOULEVARD DU MI-VALLON, SHERBROOKE (QC), J1N4G8"
SOCIETE IMMOBILIERE PRIVEE CARON & TREPANIER INC. ,"1439 RUE BELIVEAU, SHERBROOKE (QC), J1K2R7"
LES IMMEUBLES MARIE-SOPHIE INC. ,"210 RUE PERRAS, SHERBROOKE (QC), J1N3N8"
9167-2584 QUEBEC INC. ,"11 RUE MEADOW, HATLEY (QC), J0B 4B0, A/S CHARLES GAGNON"
149 WELLINGTON NORD INC. ,"151 RUE WELLINGTON N, SHERBROOKE (QC), J1H5B9"
GESTION IMMOBILIERE THIBODEAU INC. ,"1170 RUE CRAIG N, COOKSHIRE-EATON (QC), J0B1M0"
9382-6329 QUEBEC INC. ,"4208 RUE SHERBROOKE, MAGOG (QC), J1X 5R2, A/S GABRIEL DELORME-TREPANIER"
9270-1788 QUEBEC INC. ,"763 RUE DU CONSEIL, SHERBROOKE (QC), J1G1L1, A/S CARL LAPOINTE"
9454-0598 QUEBEC INC. ,"140 RUE DU CONSEIL, SHERBROOKE (QC), J1G1H8"
9027-6957 QUEBEC INC. ,"1282 CHEMIN DU 6E RANG, SHERBROOKE (QC), J1C0H8"
COOP. D'HABITAT.L'OASIS ST-JEAN-BAPTISTE ,"184 RUE BIRON, SHERBROOKE (QC), J1G1G8"
SIMARD & ASS. EXPERTS CONS. EVALUATION INC. ,"636 RUE DU QUEBEC, SHERBROOKE (QC), J1H3M2"
171 RUE DU CEGEP INC. ,"401-268 RUE ABERDEEN, SHERBROOKE (QC), J1H1W5"
7710895 CANADA CORP. ,"6 RUE DU GRAND-DUC, VERDUN (QC), H3E 1V3"
ENTREPOT RJL INC. ,"82 RUE ELIZABETH, SOREL-TRACY (QC), J3P 4G5"
GROUPE KG IMMOBILIER INC. ,"CP 55009 BP VIEUX-LONGUEUIL, LONGUEUIL (QC), J4H 1G0"
9404-1639 QUEBEC INC. ,"5180 RUE SAINT-DOMINIQUE, MONTREAL (QC), H2T 1V2"
9146-6573 QUEBEC INC. ,"1986 RUE ADAM, SHERBROOKE (QC), J1J1E6, A/S PIERRE CHAPDELAINE"
PLACEMENTS G.I.G. INC. ,"350 RUE DES QUARTZ, SHERBROOKE (QC), J1G4B8, A/S DOMINIC GLAUDE"
LOGEMENTS JCMM INC. ,"9935 AV CHARTON, MONTREAL (QC), H2B 2C7"
9076-4150 QUEBEC INC. ,"1885 RUE DE VALENCAY, SHERBROOKE (QC), J1G5E7, A/S DENIS POULIN"
CONSTRUCTION UBALD GIRARD INC. ,"A-479 RUE DE LA BRUERE, SHERBROOKE (QC), J1E1K6"
GROUPE TOMARA INC. ,"921 RUE HENRI-IV, SHERBROOKE (QC), J1N4G3"
9344-1335 QUEBEC INC. ,"678 BOULEVARD LAVIGERIE, SHERBROOKE (QC), J1G2X2"
9439-5589 QUEBEC INC. ,"103-9930 BOULEVARD BOURQUE, SHERBROOKE (QC), J1N0G2, A/S JEREMY LACROIX"
GESTION G. RICHARD INC. ,"70 RUE CAROLINE, SAINTE-CATHERINE-DE-HATLEY (QC), J0B 1W0"
IMMEUBLES H. DUPONT INC ,"2 RUE DU CARMEL, DANVILLE (QC), J0A 1A0, A/S HELENE DUPONT"
IMMO SUPREME INC. ,"1310 RUE DUCHESNEAU, LAVAL (QC), H7A 0A5"
LES AGENCES F.E. INC. ,"655 RUE DE ROBERVAL, BOUCHERVILLE (QC), J4B 7S7"
GESTION O4M INC. ,"4602 RUE FONTAINE, ASCOT CORNER (QC), J0B 1A0"
9134-9662 QUEBEC INC. ,"1310 RUE DES IMMORTELLES, SHERBROOKE (QC), J1E4E1, A/S FRANCOIS ROY"
9114-1762 QUEBEC INC. ,"8228 AV CASGRAIN, MONTREAL (QC), H2P 2K5, A/S JACQUES BELISLE"
9347-7669 QUEBEC INC. ,"6255 RUE LA DAUVERSIERE, SAINT-LEONARD (QC), H1S 1R7"
9273-5588 QUEBEC INC. ,"401 CH BOUDREAU, COMPTON (QC), J0B 1L0, A/S DOMINIQUE PAGE"
LES SAPINS DOWNEY INC. ,"2808 RUE DU SELLIER, CANTON-DE-HATLEY (QC), J0B 1M0, A/S STEVE DOWNEY"
GESTION IMMOBILIERE SIMARD L'HEUREUX INC ,"2611 RUE DES DAHLIAS, SHERBROOKE (QC), J1R0C6"
FIDUCIE FAMILLE REJEAN GOUIN ,"990 RUE BOWEN S, SHERBROOKE (QC), J1G2G4"
GESTION PINARD ET BOYER INC. ,"1921 RUE DU TERROIR, SHERBROOKE (QC), J1E0B1"
IMMEUBLES PRINCE-RUPERT INC. ,"668 BOULEVARD LAVIGERIE, SHERBROOKE (QC), J1G2X2"
GROUPE DUMARQ INC. ,"1055 RUE LAROCQUE, SHERBROOKE (QC), J1H4R7"
JARDINS DE L'EST INC. ,"550 RUE MURRAY, SHERBROOKE (QC), J1G2K6, A/S YVON LALLIER"
COOP. D'HABITAT. DESORMEAUX DE SHERBROOKE ,"1-740 PLACE DES ORMEAUX, SHERBROOKE (QC), J1G3L5"
GROUPE ROYVAIS INC. ,"82 RUE ELIZABETH, SOREL-TRACY (QC), J3P 4G5"
GESTION IMMOBILIERE G.M.R. EAST-ANGUS ,"203 RUE KENNEDY, EAST ANGUS (QC), J0B 1R0, A/S GHISLAIN COUTURE"
9254-1556 QUEBEC INC. ,"110-3160 12E AVENUE N, SHERBROOKE (QC), J1H5H3, A/S DAVID BUSQUE"
9365-9258 QUEBEC INC. ,"3536 RUE KING E, SHERBROOKE (QC), J1G5J3, A/S JOE PRUD'HOMME MONTPETIT"
2970-5753 QUEBEC INC. ,"5150 RUE LACORDAIRE, MONTREAL (QC), H1M 2P2, A/S ANDRE TREMBLAY"
DISTRIBUTIONS FRANCOIS PERRON INC. ,"337 RUE ALLARD, SHERBROOKE (QC), J1G5C2"
ALFRED DEMERS INC. ,"1705 RUE BELLEFLEUR, SHERBROOKE (QC), J1J1A2"
PLAC. JEAN-MARC CHARTIER INC. ,"3640 CHEMIN BIBEAU, SHERBROOKE (QC), J1H0E3"
9459-6731 QUEBEC INC. ,"1700 RUE JASMIN, SHERBROOKE (QC), J1N1J5"
9496-1166 QUEBEC INC. ,"5955 RUE DAVID-LEWIS, COTE SAINT-LUC (QC), H3X 4A1"
DENALI CAPITAL INC. ,"1094 RUE BERUBE, SHERBROOKE (QC), J1N1B6"
9423-1750 QUEBEC INC. ,"401-268 RUE ABERDEEN, SHERBROOKE (QC), J1H1W5"
DELIA EGGXTRA INC. ,"661 RUE KING E, SHERBROOKE (QC), J1G1C1, A/S YVAN AUBE"
GESTION C.P. 2006 INC. ,"2925 RUE SAVARD, SHERBROOKE (QC), J1K1S3, A/S CLAUDE POULIN"
9123-7503 QUEBEC INC. ,"78 RUE SAINT-PATRICE E, MAGOG (QC), J1X 1T4, A/S STEPHANE BOURQUE"
9179-2143 QUEBEC INC. ,"PO BOX 56 SUCC BUREAU-CHEF, WINDSOR (QC), J1S 2L7, A/S STEPHANE COTE"
9415-6254 QUEBEC INC. ,"1480 RUE SYLVA-DUPLESSIS, SHERBROOKE (QC), J1E0L5"
9361-1929 QUEBEC INC. ,"310 PLACE CALIXA-LAVALLEE, GRANBY (QC), J2G 9J9, A/S CHARLES RACICOT"
INVEXA IMMOBILIER INC. ,"1284 RUE DU BOISE, BOUCHERVILLE (QC), J4B 8W5"
CONSTRUCTION B. & R. NADEAU INC. ,"108-1130 13E AVENUE N, SHERBROOKE (QC), J1E3J4"
S.E.C. APPARTEMENTS MONTPELLIER ,"20 RUE DES TOURTERELLES, CANTON-DE-GRANBY (QC), J2H 1T8"
GROUPE IMMOBILIER EDDY SAVOIE INC. ,"549 RUE DE VERRAZANO, BOUCHERVILLE (QC), J4B 7W2"
9436-6549 QUEBEC INC. ,"302-895 CHEMIN DUPLESSIS, SHERBROOKE (QC), J1E4J7"
GESTION 900 DESPRES INC. ,"678 BOULEVARD LAVIGERIE, SHERBROOKE (QC), J1G2X2"
LA MAISON DE MONTIGNY ,"CP 22001, SHERBROOKE (QC), J1E 4B4, A/S LISE BERGERON"
GESTION 38 CROISSANT DOWNS INC. ,"13-185 RUE JACQUES-CARTIER N, SAINT-JEAN-SUR-RICHELIEU (QC), J3B 6T1"
9133-3203 QUEBEC INC. ,"160 RUE DES FORGES CP 577, TROIS-RIVIERES (QC), G9A 5H5, A/S IMMEUBLES LENNOX"
ARCHIE MCLEAN HOLDINGS LTD ,"20 RUE CONNOLLY, SHERBROOKE (QC), J1M1L9, A/S STEPHEN MCLEAN"
12664887 CANADA INC. ,"590 LAKESHORE RD, BEACONSFIELD (QC), H9W 4K4"
ROBSTAN ENTREPRISES LTD. ,"CP 474 SUCC LENNOXVILLE, SHERBROOKE (QC), J1M 1Z6"
2850-2953 QUEBEC INC. ,"102 AV DE LA PLAGE, MAGOG (QC), J1X 5V3, A/S VALERIE COURCHESNE"
SOLUTIONS IMMEUBLES INC. ,"D-251 RUE QUEEN, SHERBROOKE (QC), J1M1K5, A/S DAVID BEAUDOIN"
9512-1190 QUEBEC INC. ,"1439 RUE BELIVEAU, SHERBROOKE (QC), J1K2R7, A/S FELIX TREPANIER"
9368-1666 QUEBEC INC. ,"3050 BOUL BECANCOUR, BECANCOUR (QC), G9H 3V9, A/S LIONEL CUGGIA"
GESTION LAUZIER ET FILS INC. ,"3514 RUE FELTON, SHERBROOKE (QC), J1N2Y6"
9168-4514 QUEBEC INC. ,"1525 RUE DU CONSEIL, SHERBROOKE (QC), J1G1N5"
2426-1554 QUEBEC INC. ,"1338 RUE KING O, SHERBROOKE (QC), J1J2B6, A/S MICHEL DUTIL"
LE RENAISSANCE FLEURIMONT S.E.C. ,"809 RUE DE L' ONTARIO, SHERBROOKE (QC), J1J3R9"
9208-3930 QUEBEC INC. ,"381 11E RANG, BOLTON-EST (QC), J0E 1G0"
GESTION IMM. G.M.R. D'EAST ANGUS SEC ,"2234 RUE KING O, SHERBROOKE (QC), J1J2E8"
LES INVESTISSEMENTS CAPITAL IV INC. ,"2 CH SAINT-ONGE, RICHMOND (QC), J0B 2H0"
880-911 CAPUCINES INC. ,"875 AV DE DIEPPE, SAINT-HYACINTHE (QC), J2S 7A1"
9164-5747 QUEBEC INC. ,"2735 RUE DU TAURUS, SHERBROOKE (QC), J1E0E9, A/S SAMUEL BRETON"
9433-3606 QUEBEC INC. ,"3536 RUE KING E, SHERBROOKE (QC), J1G5J3"
9128-1154 QUEBEC INC. ,"203 RUE KENNEDY, EAST ANGUS (QC), J0B 1R0"
GESTION  28 BOWEN INC. ,"5 RUE JOLIETTE, BLAINVILLE (QC), J7B 1L9"
RESTORIA HABITATION INC. ,"1940 12E AVENUE N, SHERBROOKE (QC), J1E4J6"
9332-4135 QUEBEC INC. ,"49 RUE DE L'ANDALOU, BLAINVILLE (QC), J7C 0N6"
"YVES COLLIN, M.D. INC. ","3545 RUE DE L' ALLEE, SHERBROOKE (QC), J1H0J9"
GESTION EVCA INC. ,"1810 RUE JEAN-CLAUDE-LA HAYE, SHERBROOKE (QC), J1N0W2, A/S CARL TREMBLAY"
LES IMMEUBLES TERATER INC. ,"1650 BOUL. LEMIRE, DRUMMONDVILLE (QC), J2C 5A4, A/S LOUIS-JACQUES LAFERTE"
GESTION MYRIN INC. ,"14 RUE DES LOTUS, BLAINVILLE (QC), J7C 5V3"
9465-7475 QUEBEC INC. ,"279 RUE CAPES, SAINT-CONSTANT (QC), J5A 0B9"
9218-3102 QUEBEC INC. ,"1435 RUE KING E, SHERBROOKE (QC), J1G1E8"
9223-8161 QUEBEC INC. ,"705 CHEMIN MOULTON HILL, SHERBROOKE (QC), J1M0A8, A/S SERGE LEMIEUX"
9356-0829 QUEBEC INC. ,"70 RUE HECTOR-JOLY, BLAINVILLE (QC), J7C 0E2, A/S NARENDAR AKULA"
9435-0907 QUEBEC INC. ,"181 RUE LAMPRON, MAGOG (QC), J1X 5R7"
GILLES SAINTON MEDECIN INC. ,"71 RTE 216, STOKE (QC), J0B 3G0, A/S MICHELLE BOYER"
IMMEUBLES SAPHIR INC. ,"338 RUE LINDSAY, DRUMMONDVILLE (QC), J2B 1G5, A/S CARL JUTRAS"
9399-9076 QUEBEC INC. ,"345 RUE HOVEY, NORTH HATLEY (QC), J0B 2C0, A/S JENNAH CASSAR"
IMMO SANTE ESTRIE INC. ,"3110 RTE 222, SAINT-DENIS-DE-BROMPTON (QC), J0B 2P0"
LES COMMUNAUTES RETRAITES MASSAWIPPI ,"1515 RUE PLEASANT VIEW, SHERBROOKE (QC), J1M0C6"
9403-7355 QUEBEC INC. ,"15 RUE HAYES, BROMONT (QC), J2L 0L8, A/S MELANIE NADEAU"
LOGEMENTS HANDI-CITE ,"100-1896 RUE THOMAS-EVANS, SHERBROOKE (QC), J1E0M9"
GESTION IQ INC. ,"372 RUE GERARD-GOULET, GRANBY (QC), J2H 1H3"
FIDUCIE P.MAURICE ,"623 7E RANG, WINDSOR (QC), J1S 2L5"
9417-5452 QUEBEC INC. ,"103-9930 BOULEVARD BOURQUE, SHERBROOKE (QC), J1N0G2"
9518-3497 QUEBEC INC. ,"CP 6402 SUCC ROCK FOREST, SHERBROOKE (QC), J1N 3E2"
GESTION EL SHADDAI INC. ,"3282 CHEMIN DE NORTH HATLEY, SHERBROOKE (QC), J1N2Y5, A/S MARIO COTE"
PLACEMENTS CALDI INC. ,"3246 RUE DES VIGNOBLES, SHERBROOKE (QC), J1N0H7, A/S ALAIN DICAIRE"
9236-7184 QUEBEC INC. ,"2489 RUE DES VINAIGRIERS, SHERBROOKE (QC), J1R0H2"
ALTITUDE - FJ INC. ,"1090 RUE DE LA FALAISE, SHERBROOKE (QC), J1N2M9"
SOCIETE IMMOBILIERE FIERBROOKE INC. ,"401-268 RUE ABERDEEN, SHERBROOKE (QC), J1H1W5"
12685892 CANADA INC. ,"2380 RUE DE DESCHAMBAULT, LAVAL (QC), H7E 1E1"
FBELLA INC. ,"152 RUE JULES-DUMOUCHEL, CHATEAUGUAY (QC), J6K 0C5"
IMMEUBLES ALEMA INC. ,"376 RUE FOURNIER, GRANBY (QC), J2J 0V2"
GESTION FAUTEUX NADEAU INC. ,"103-1415 RUE BRULOTTE, SHERBROOKE (QC), J1E0J1"
JALEM INC. ,"575 BOUL SAINT-JOSEPH, DRUMMONDVILLE (QC), J2C 2B6"
GESTION PODIART INC. ,"4380 BOUL PIE-IX, MONTREAL (QC), H1X 2B3"
LABON INC. ,"575 BOUL SAINT-JOSEPH, DRUMMONDVILLE (QC), J2C 2B6"
9494-7298 QUEBEC INC. ,"3536 RUE KING E, SHERBROOKE (QC), J1G5J3"
GESTION LYMLEE INC. ,"4380 BOUL PIE-IX, MONTREAL (QC), H1X 2B3"
GESTION IMMOBILIERE GBG INC. ,"105 RUE DE LA ROSE-DES-SABLES, LA PRAIRIE (QC), J5R 0C8"
9438-0037 QUEBEC INC. ,"3536 RUE KING E, SHERBROOKE (QC), J1G5J3, A/S JOE PRUD'HOMME MONTPETIT"
9415-2493 QUEBEC INC. ,"6255 RUE LA DAUVERSIERE, SAINT-LEONARD (QC), H1S 1R7, A/S LUIGI TESOLIN"
9450-3752 QUEBEC INC. ,"6318 RUE SAINT-DOMINIQUE, MONTREAL (QC), H2S 3A5, A/S PHILIPPE MOISAN"
9058-9482 QUEBEC INC. ,"3-3770 BOUL EDOUARD-MONTPETIT, MONTREAL (QC), H3T 1K9"
FERME DOUBLE H (1987) INC. ,"131 CH SPRING, ASCOT CORNER (QC), J0B 1A0"
INVESTISSEMENTS SHERBIMM INC. ,"1744 RUE GUY-DUROCHER, SHERBROOKE (QC), J1E0L1"
245 RUE MCMANAMY INC. ,"401-268 RUE ABERDEEN, SHERBROOKE (QC), J1H1W5"
9213-5094 QUEBEC INC. ,"990 RUE BOWEN S, SHERBROOKE (QC), J1G2G4, A/S JEAN-PIERRE GOUIN"
9459-1070 QUEBEC INC. ,"68 BOUL SAINT-JOSEPH O, MONTREAL (QC), H2T 2P4"
9400-0445 QUEBEC INC. ,"3-583 RUE DES PRES, SAINT-JEROME (QC), J7Z 3N9"
9495-5028 QUEBEC INC. ,"5121 RUE ALBANI, SHERBROOKE (QC), J1N0Z5"
SOC. D'HABITATION DU QUEBEC ,"471 RUE GALT O, SHERBROOKE (QC), J1H1Y8"
249 LAURIER INC. ,"3775 RUE LA VERENDRYE, SHERBROOKE (QC), J1L1W8"
COLLECTIF FIERBROOKE INC. ,"401-268 RUE ABERDEEN, SHERBROOKE (QC), J1H1W5"
9262-7181 QUEBEC INC. ,"990 RUE BOWEN S, SHERBROOKE (QC), J1G2G4, A/S JEAN-PIERRE GOUIN"
9466-0933 QUEBEC INC. ,"5724 AV DU PARC, MONTREAL (QC), H2V 4H1"
LOCAUX MGM ,"420 CH BIRON RR 2, ASCOT CORNER (QC), J0B 1A0, A/S MARC-ANDRE RANCOURT"
116 RUE SANBORN INC. ,"401-268 RUE ABERDEEN, SHERBROOKE (QC), J1H1W5"
LES INVESTISSEMENTS YANN LACROIX INC. ,"815 RUE SAINT-PATRICE E, MAGOG (QC), J1X 1V6"
9385-3778 QUEBEC INC. ,"4208 RUE SHERBROOKE, MAGOG (QC), J1X 5R2"
9325-2195 QUEBEC INC. ,"1444 RUE KING O, SHERBROOKE (QC), J1J2C2, A/S PATRICK PLANTE"
GESTION M. LABEL INC. ,"CP 21515 STE-FAMILLE, SHERBROOKE (QC), J1G 5K2"
9470-8823 QUEBEC INC. ,"668 BOULEVARD LAVIGERIE, SHERBROOKE (QC), J1G2X2, A/S MARC-ANTOINE VEZINA"
KP CAPITAL IMMOBILIER VI S.E.C. ,"225-2075 AV VICTORIA, SAINT-LAMBERT (QC), J4S 1H1"
9376-8059 QUEBEC INC. ,"25 RUE SAINT-JACQUES N, COATICOOK (QC), J1A 2P6"
9232-6875 QUEBEC INC. ,"543 RUE DES PEUPLIERS, COATICOOK (QC), J1A 2Y7, A/S CHRISTIAN GOSSELIN"
9169-4984 QUEBEC INC. ,"5547 RTE 112, ASCOT CORNER (QC), J0B 1A0, A/S SERGE MAHER"
GESTION MAHEU VACHON INC. ,"627 CH BIRON, ASCOT CORNER (QC), J0B 1A0"
9469-0104 QUEBEC INC. ,"3450 CH BARTLETT, COOKSHIRE-EATON (QC), J0B 1M0"
9381-3103 QUEBEC INC ,"956 RUE MARIE-ANNE-MESSIER, BOUCHERVILLE (QC), J4B 3Z8"
IMMEUBLES LMQ INC. ,"4718 RUE GEORGE-V, SHERBROOKE (QC), J1N3Y4"
9312-9195 QUEBEC INC. ,"420 RUE DE MONTREAL, SHERBROOKE (QC), J1H1E5"
IMMOBILIER FORMIDABLEPLEX INC. ,"9-4825 AV BORDEN, MONTREAL (QC), H4V 2S9"
GALT ST-CHARLES INC. ,"401-268 RUE ABERDEEN, SHERBROOKE (QC), J1H1W5"
9383-8647 QUEBEC INC. ,"10 AV BOMBARDIER, MAGOG (QC), J1X 0Y7, A/S CLAUDE-PHILIPPE ARNAU"
GROUPE IMMOBILIER BRADLEY LTEE ,"1375 RUE BRADLEY, SHERBROOKE (QC), J1J1M1, A/S MICHEL JUBINVILLE"
BOWEN IMMOBILIER INC. ,"5479 RUE SAINT-ANDRE, MONTREAL (QC), H2J 4G3, A/S DANIEL BLANCHETTE"
PLACEMENTS DVV INC. ,"4370 AV MONTCLAIR, MONTREAL (QC), H4B 2J6, A/S CHRISTIAN PROVOST"
GESTION LOF S.E.N.C. ,"4600 RUE RAYMOND-LEVESQUE, BOISBRIAND (QC), J7H 0C9, A/S LOUIS-DOMINIC BEAUPRE"
EDIFICA GESTION IMMOBILIERE INC. ,"1050 RUE DU MONT-GIRARD, SAINT-DENIS-DE-BROMPTON (QC), J0B 2P0"
DAVID DUNCAN HOLDINGS LTD ,"20 RUE CONNOLLY, SHERBROOKE (QC), J1M1L9, A/S STEPHEN MCLEAN"
9290-7476 QUEBEC INC. ,"68 CH BIRON, ASCOT CORNER (QC), J0B 1A0, A/S STEPHANE FRECHETTE"
222 LAURIER INC. ,"4718 RUE GEORGE-V, SHERBROOKE (QC), J1N3Y4"
KP CAPITAL IMMOBILIER III S.E.C. ,"CP 55009 VIEUX-LONGUEUIL, LONGUEUIL (QC), J4H 1G0"
9502-9567 QUEBEC INC. ,"200-2300 BOUL SAINT-MARTIN E, LAVAL (QC), H7E 5P3"
SOCIETE IMMOBILIERE LE NOBLET INC. ,"668 BOULEVARD LAVIGERIE, SHERBROOKE (QC), J1G2X2"
HAUS SOCIETE IMMOBILIERE INC. ,"377 RUE KING E, SHERBROOKE (QC), J1G1B4"
RESIDENCES DE L'ESTRIE INC. ,"2300 BOUL SAINT-MARTIN E, LAVAL (QC), H7E 5P3"
KP CAPITAL IMMOBILIER V S.E.C ,"225-2075 AV VICTORIA, SAINT-LAMBERT (QC), J4S 1H1"
GROUPE PACIFIK INC. ,"38 TSSE LEMAY, SAINT-EUSTACHE (QC), JJ7 P0C4"
LES GESTIONS ME INC. ,"715 RUE DES BOIS-FRANCS, BOUCHERVILLE (QC), J4B 8P9"
PAROLE DE VIE - BETHEL  INC. ,"1175 CHEMIN THOMAS-WOODWARD, SHERBROOKE (QC), J1M0B4"
MISSION REHOBOTH INTER/SOURCE DE VIE ,"306 12E AVENUE S, SHERBROOKE (QC), J1G2V6"
INVESTISSEMENTS DREAM MASTER INC. ,"11H-6101 RUE DEACON, MONTREAL (QC), H3S 2V6"
SOCIETE IMMOBILIERE AMCHIDE INC. ,"269 RUE HUOT, REPENTIGNY (QC), J5Z 4Z6"
IMMEUBLES D.N.R. SENC ,"2080 SPRING ROAD, COOKSHIRE-EATON (QC), J0B 1M0, A/S DANIEL ROULEAU"
9011-5221 QUEBEC INC. ,"1105 RUE HAINS, DRUMMONDVILLE (QC), J2C 6G6"
